player,AB,R,H,HR,RBI,BB,K,SB,AVG,OBP,SLG
Nico Hoerner,582,86,159,7,48,44,66,31,.273,.335,.373
Gleyber Torres,587,80,151,15,63,65,136,4,.257,.330,.378
Nolan Schanuel,519,62,130,13,54,68,103,10,.250,.343,.362
Jeremy Peña,602,78,160,15,70,25,111,20,.266,.308,.394
Dansby Swanson,534,82,129,16,66,54,144,19,.242,.312,.390
Daulton Varsho,459,73,98,18,58,48,137,10,.214,.293,.407
Marcus Semien,650,101,154,23,74,64,105,8,.237,.308,.391
Andrew Vaughn,570,55,140,19,70,38,132,2,.246,.297,.402
Colt Keith,516,54,134,13,61,36,110,7,.260,.309,.380
Andrew Benintendi,477,50,109,20,64,41,96,3,.229,.289,.396
Adolis García,580,68,130,25,85,45,177,11,.224,.284,.400
George Springer,545,74,120,19,56,60,115,16,.220,.303,.371
Bryson Stott,506,65,124,11,57,53,93,32,.245,.315,.356
Ty France,479,46,112,13,51,38,114,1,.234,.305,.365
Brice Turang,559,72,142,7,57,50,105,50,.254,.316,.349
Ceddanne Rafaela,544,70,134,15,75,15,151,19,.246,.274,.390
Anthony Volpe,637,90,155,12,60,42,156,28,.243,.293,.364
Bryan De La Cruz,584,61,136,21,68,29,170,5,.233,.271,.384
Sal Frelick,475,66,123,2,32,39,78,18,.259,.320,.335
Alex Verdugo,559,74,130,13,61,49,93,2,.233,.291,.356
Jacob Young,468,75,120,3,36,30,102,33,.256,.316,.331
Jake Meyers,461,51,101,13,61,35,117,11,.219,.286,.360
Leody Taveras,480,59,110,12,44,42,112,23,.229,.289,.352
Andrés Giménez,583,64,147,9,63,26,97,30,.252,.298,.340
Christopher Morel,535,56,105,21,60,61,159,8,.196,.288,.346
Zack Gelof,497,60,105,17,49,38,188,25,.211,.270,.362
Orlando Arcia,551,50,120,17,46,41,128,2,.218,.271,.354
Maikel Garcia,575,84,133,7,58,42,103,37,.231,.281,.332
